player_name,position,team,season,injury_type,injury_date,return_date,days_out,games_missed,player_url,data_collection_date
Óscar Ustari,19,Inter Miami CF,25/26,Muscle injury,"Jul 18, 2025","Aug 9, 2025",23,5,https://www.transfermarkt.us/oscar-ustari/profil/spieler/3755,2025-12-24
Óscar Ustari,19,Atlas Guadalajara,17/18,Patellar tendon rupture,"Nov 3, 2017","May 1, 2018",180,26,https://www.transfermarkt.us/oscar-ustari/profil/spieler/3755,2025-12-24
Óscar Ustari,19,Atlas Guadalajara,16/17,Broken arm,"Feb 18, 2017","Aug 6, 2017",170,20,https://www.transfermarkt.us/oscar-ustari/profil/spieler/3755,2025-12-24
Óscar Ustari,19,CA Boca Juniors,12/13,Torn muscle bundle,"May 10, 2013","May 29, 2013",20,5,https://www.transfermarkt.us/oscar-ustari/profil/spieler/3755,2025-12-24
Óscar Ustari,19,Getafe CF,10/11,Cruciate ligament tear,"May 31, 2011","Dec 1, 2011",185,28,https://www.transfermarkt.us/oscar-ustari/profil/spieler/3755,2025-12-24
Óscar Ustari,19,Getafe CF,10/11,Broken jaw,"Feb 13, 2011","Mar 25, 2011",41,8,https://www.transfermarkt.us/oscar-ustari/profil/spieler/3755,2025-12-24
Óscar Ustari,19,Getafe CF,08/09,Cruciate ligament tear,"Aug 17, 2008","Mar 1, 2009",197,34,https://www.transfermarkt.us/oscar-ustari/profil/spieler/3755,2025-12-24
Óscar Ustari,19,CA Independiente,06/07,Knee problems,"Apr 15, 2007","May 8, 2007",24,5,https://www.transfermarkt.us/oscar-ustari/profil/spieler/3755,2025-12-24
Gonzalo Luján,2,Inter Miami CF,24/25,unknown injury,"May 30, 2025","Jul 15, 2025",47,8,https://www.transfermarkt.us/gonzalo-lujan/profil/spieler/896536,2025-12-24
Gonzalo Luján,2,CA San Lorenzo de Almagro,24/25,Ankle sprain,"Oct 11, 2024","Nov 3, 2024",24,3,https://www.transfermarkt.us/gonzalo-lujan/profil/spieler/896536,2025-12-24
Gonzalo Luján,2,CA San Lorenzo de Almagro II,21/22,Broken collarbone,"Feb 22, 2022","May 11, 2022",79,10,https://www.transfermarkt.us/gonzalo-lujan/profil/spieler/896536,2025-12-24
Maximiliano Falcón,37,Inter Miami CF,24/25,Shoulder injury,"Mar 8, 2025","Mar 12, 2025",5,1,https://www.transfermarkt.us/maximiliano-falcon/profil/spieler/437993,2025-12-24
